learner_id,quizzes_attempted,avg_quiz_score,total_interactions,total_days_active,cluster
6516,5,61.8,2791.0,0.0,2
8462,7,87.0,656.0,256.0,1
11391,5,82.0,934.0,0.0,2
23629,4,82.5,161.0,0.0,0
23698,9,74.44444444444444,910.0,0.0,0
23798,11,93.9090909090909,590.0,0.0,0
24186,8,62.5,184.0,0.0,0
24213,7,76.28571428571429,1992.0,82.0,1
24391,9,88.88888888888889,712.0,0.0,0
24734,5,46.8,499.0,0.0,2
25107,11,77.36363636363636,2562.0,0.0,0
25150,4,84.25,2103.0,0.0,0
25261,1,78.0,997.0,165.0,0
25572,2,55.0,113.0,127.0,0
25997,2,86.5,13.0,222.0,0
26023,9,88.0,786.0,0.0,0
26192,5,86.2,2223.0,0.0,2
26211,12,89.25,15205.0,0.0,0
26247,1,88.0,478.0,0.0,0
26315,5,51.4,2451.0,0.0,2
26734,3,74.33333333333333,210.0,0.0,0
27116,9,93.33333333333331,1847.0,0.0,0
27189,12,52.0,2638.0,0.0,0
27417,8,50.625,510.0,293.0,0
27683,12,82.08333333333333,2129.0,0.0,0
27759,11,76.0909090909091,366.0,0.0,0
27780,3,60.0,553.0,0.0,0
27891,12,69.16666666666667,348.0,211.0,0
27935,4,75.25,813.0,0.0,0
28046,7,49.42857142857143,661.0,0.0,1
28061,5,77.6,1590.0,0.0,2
28400,5,66.4,1435.0,0.0,2
28418,2,31.5,328.0,0.0,0
28787,5,53.6,645.0,0.0,2
28808,2,70.0,232.0,0.0,0
28897,12,71.33333333333333,3367.0,0.0,0
28952,2,59.5,105.0,62.0,0
29144,9,73.22222222222223,1914.0,0.0,0
29335,12,92.08333333333331,8840.0,0.0,0
29411,9,59.22222222222222,1170.0,235.0,0
29420,8,75.25,816.0,0.0,0
29639,13,83.76923076923077,10503.0,0.0,0
29764,9,89.33333333333333,2867.0,0.0,0
29769,6,77.5,1608.0,0.0,0
29820,13,80.61538461538461,2502.0,0.0,0
29985,9,71.88888888888889,760.0,0.0,0
30091,10,88.0,1332.0,0.0,0
30096,9,93.55555555555556,714.0,0.0,0
30531,4,87.25,1548.0,0.0,0
30549,1,35.0,137.0,0.0,0
30850,9,99.33333333333331,2258.0,0.0,0
31014,5,90.0,531.0,171.0,2
31107,9,89.22222222222223,3873.0,0.0,0
31161,9,96.88888888888889,2932.0,0.0,0
31173,7,50.142857142857146,858.0,0.0,1
31205,4,90.5,381.0,0.0,0
31269,2,56.0,859.0,163.0,0
31296,12,66.08333333333333,1280.0,0.0,0
31600,5,54.8,429.0,0.0,2
31604,5,76.0,2158.0,0.0,2
31663,11,79.27272727272727,5906.0,0.0,0
31849,11,78.0,1179.0,0.0,0
32221,5,89.6,1133.0,0.0,2
32239,8,80.625,620.0,0.0,0
32327,2,31.0,699.0,213.0,0
32885,5,54.4,1034.0,0.0,2
32930,5,45.0,438.0,0.0,2
33387,3,59.0,248.0,222.0,0
33600,1,84.0,481.0,75.0,0
33666,4,78.66666666666667,1208.0,162.0,0
33681,7,76.14285714285714,464.0,359.0,1
33796,7,63.71428571428572,351.0,0.0,1
33897,4,54.5,322.0,165.0,0
33915,12,91.5,4121.0,0.0,0
33930,6,81.33333333333333,544.0,0.0,0
34068,3,73.33333333333333,613.0,182.0,0
34087,7,84.42857142857143,425.0,244.0,1
34229,9,88.0,706.0,0.0,0
34293,2,74.0,921.0,158.0,0
34353,10,90.6,391.0,0.0,0
34431,1,80.0,192.0,51.0,0
34653,3,49.0,213.0,0.0,0
34662,2,34.5,218.0,241.0,0
34731,3,75.66666666666667,681.0,174.0,0
34756,3,67.33333333333333,129.0,102.0,0
34863,11,73.9090909090909,198.0,0.0,0
35001,2,75.0,77.0,0.0,0
35340,4,79.75,1812.0,0.0,0
